Key;EnglishText;DeutschText;
HomeBtn; Home; Hauptmenü;
ContactBtn; Contact; Kontakt;
ProductsBtn; Products; Produkte;
ProfileBtn; Profile; Profil;
RegisterBtn; Register; Registrieren;
HomeTextTitle; Buy your drugs here!; Kaufen Sie Ihre Medikamente hier!;
HomeTextH2; Your Number 1 worldwide!; Ihre Nummer 1 weltweit!;
HomeTextH3F; Welcome to our Website!; Willkommen auf unserer Website!; 
HomeTextH3S; We are a team of students, who are doing this as a school project xD.; Wir sind ein Team von Schülern, die dies als Schulprojekt machen xD.; 
HomeTextH3T; I hope you enjoy our website and we hope to see you soon again!; Ich hoffe, Ihnen gefällt unsere Website und wir hoffen, Sie bald wiederzusehen!;
ContactText; Contact us:; Kontaktiert uns:;
ProfileLogin; Login; Einloggen;
ProfileUsername; Username; Nutzername;
ProfilePassword; Your password; Passwort;
ProfileError; Password mismatch! ; Password stimmt nicht überein! ;
ProfileUserNotExist; Login not possible! Register first; Login nicht möglich! Registriere dich bitte zu erst;
ProfileLoginOk; You are logged in; Sie sind jetzt eingeloggt;
RegTitle; Registration form; Registrierungs Formular;
RegUsername; Pick a username; Wähle einen Nutzernamen;
RegPassword; Pick a password; Wähle ein Passwort;
RegPasswordConfirm; Confirm your password; Bestätige dein Passwort;
RegFirstName; Your first name; Dein Name;
RegEmail; Your email address; Email;
RegButton; Register; Registrieren;
RegMatch; Passwords match. Registration in progress.; Passwörter stimmen. Registrierung erfolgt.;
RegNoMatch; Password mismatch or user already exists; Passwörter stimmen nicht überein oder Nutzer existiert bereits.;
ProductsTitle; Our high quality products!; Unsere Produkte aus Top Qualität!;
ProductsSubTitle; Fair Prices! Fairtrade! Free shipping!; Fairer Preis! Fairtrade! Gratis Versand!;
ProductsQuantity; for; für;
ProductsSelect; Choose your quantity; Wähle deine Menge;
LogoutBtn; LOGOUT; ABMELDEN;
AdminBtn; Admin page; Admin-Seite;
AdminTitle; Admin – Create Product; Admin – Produkt erstellen;
AdminSubTitle; Add new products for the shop; Neue Produkte für den Shop hinzufügen;
AdminCreateProduct; Create a new product; Neues Produkt erstellen;
;;;